14584887621258891555.wav	इतालवी भाषा में उच्चारण करना तुलनात्मक रूप से आसान है क्योंकि ज़्यादातर शब्दों का उच्चारण वैसे ही किया जाता है जैसे उन्हें लिखा जाता है	इतालवी भाषा में उच्चारण करना तुलनात्मक रूप से आसान है क्योंकि ज़्यादातर शब्दों का उच्चारण वैसे ही किया जाता है जैसे उन्हें लिखा जाता है.1
10691214664103820058.wav	इतालवी भाषा में उच्चारण करना तुलनात्मक रूप से आसान है क्योंकि ज़्यादातर शब्दों का उच्चारण वैसे ही किया जाता है जैसे उन्हें लिखा जाता है	इतालवी भाषा में उच्चारण करना तुलनात्मक रूप से आसान है क्योंकि ज़्यादातर शब्दों का उच्चारण वैसे ही किया जाता है जैसे उन्हें लिखा जाता है
2790069619537345490.wav	इतालवी भाषा में उच्चारण करना तुलनात्मक रूप से आसान है क्योंकि ज़्यादातर शब्दों का उच्चारण वैसे ही किया जाता है जैसे उन्हें लिखा जाता है	इतालवी भाषा में उच्चारण करना तुलनात्मक रूप से आसान है क्योंकि ज़्यादातर शब्दों का उच्चारण वैसे ही किया जाता है जैसे उन्हें लिखा जाता है
5958463932227431376.wav	इसे मंगलवार को काटना तय किया गया था, लेकिन एक आपातकालीन अदालत के फ़ैसले के बाद इसे बचा लिया गया था.	इसे मंगलवार को काटना तय किया गया था लेकिन एक आपातकालीन अदालत के फ़ैसले के बाद इसे बचा लिया गया था
1826521854378082525.wav	इसे मंगलवार को काटना तय किया गया था, लेकिन एक आपातकालीन अदालत के फ़ैसले के बाद इसे बचा लिया गया था.	इसे मंगलवार को काटना तय किया गया था लेकिन एक आपातकालीन अदालत के फ़ैसले के बाद इसे बचा लिया गया था
16786363522141309668.wav	इसे मंगलवार को काटना तय किया गया था, लेकिन एक आपातकालीन अदालत के फ़ैसले के बाद इसे बचा लिया गया था.	इसे मंगलवार को काटना तय किया गया था लेकिन एक आपातकालीन अदालत के फ़ैसले के बाद इसे बचा लिया गया था
12888270866141269240.wav	कनान देश में बड़े जंगलो के न होने के चलते वहाँ लकड़ियाँ बहुत महंगी थी।	कनान देश में बड़े जंगलो के न होने के चलते वहां लकड़ियां बहुत महंगी थी
17521463387957509552.wav	अमेरिकी राष्ट्रपति जॉर्ज डब्ल्यू बुश ने घोषणा का स्वागत किया.	अमेरिकी राष्ट्रपति जॉर्ज डब्ल्यू बुश ने घोषणा का स्वागत किया
9606246439179103203.wav	अमेरिकी राष्ट्रपति जॉर्ज डब्ल्यू बुश ने घोषणा का स्वागत किया.	अमेरिकी राष्ट्रपति जॉर्ज डब्ल्यू बुश ने घोषणा का स्वागत किया
15641140972526434928.wav	अमेरिकी राष्ट्रपति जॉर्ज डब्ल्यू बुश ने घोषणा का स्वागत किया.	अमेरिकी राष्ट्रपति जॉर्ज डब्ल्यू बुश ने घोषणा का स्वागत किया
13048108448713953932.wav	प्रकृतिवादियों और दार्शनिकों ने शास्त्रीय ग्रंथों पर और विशेष रूप से लैटिन में लिखे बाइबिल पर ध्यान दिया।	प्रकृतिवादियों और दार्शनिकों ने शास्त्रीय ग्रंथों पर और विशेष रूप से लैटिन में लिखे बाइबिल पर ध्यान दिया
5970385275581202904.wav	प्रकृतिवादियों और दार्शनिकों ने शास्त्रीय ग्रंथों पर और विशेष रूप से लैटिन में लिखे बाइबिल पर ध्यान दिया।	प्रकृतिवादियों और दार्शनिकों ने शास्त्रीय ग्रंथों पर और विशेष रूप से लैटिन में लिखे बाइबिल पर ध्यान दिया
2639257374884274256.wav	मूल आबादी में किसी तरह का बदलाव नहीं हुआ है, अभी भी वह पहले की तरह ही अनुकूलता चाहते हैं.	मूल आबादी में किसी तरह का बदलाव नहीं हुआ है अभी भी वह पहले की तरह ही अनुकूलता चाहते हैं
13629914666057077485.wav	खारे पानी के मगरमच्छ समुद्र में आम तौर पर नहीं रहते हैं. ये अक्सर रॉकम्प्टन के उत्तर में नदी के मुहाने पर देखे जा सकते हैं.	खारे पानी के मगरमच्छ समुद्र में आम तौर पर नहीं रहते हैं ये अक्सर रॉकम्प्टन के उत्तर में नदी के मुहाने पर देखे जा सकते हैं
10429326314841370948.wav	यदि आप सर्दियों में आर्कटिक या अंटार्कटिक क्षेत्रों में जाते हैं, तो आप ध्रुवीय रात का अनुभव करेंगे, जिसका अर्थ है कि सूरज क्षितिज से ऊपर नहीं उगता है।	यदि आप सर्दियों में आर्कटिक या अंटार्कटिक क्षेत्रों में जाते हैं तो आप ध्रुवीय रात का अनुभव करेंगे जिसका अर्थ है कि सूरज क्षितिज से ऊपर नहीं उगता है
11270825464567189925.wav	यदि आप सर्दियों में आर्कटिक या अंटार्कटिक क्षेत्रों में जाते हैं, तो आप ध्रुवीय रात का अनुभव करेंगे, जिसका अर्थ है कि सूरज क्षितिज से ऊपर नहीं उगता है।	यदि आप सर्दियों में आर्कटिक या अंटार्कटिक क्षेत्रों में जाते हैं तो आप ध्रुवीय रात का अनुभव करेंगे जिसका अर्थ है कि सूरज क्षितिज से ऊपर नहीं उगता है
2348691924521048047.wav	जब आप पहले के समय में विदेश गए थे, तो लोग तब ये जानकर धैर्य और समझ रखते थे कि यात्रियों को नए देश में उसके हिसाब से ढलना पड़ता है.	जब आप पहले के समय में विदेश गए थे तो लोग तब ये जानकर धैर्य और समझ रखते थे कि यात्रियों को नए देश में उसके हिसाब से ढलना पड़ता है
17564507380689458766.wav	जब आप पहले के समय में विदेश गए थे, तो लोग तब ये जानकर धैर्य और समझ रखते थे कि यात्रियों को नए देश में उसके हिसाब से ढलना पड़ता है.	जब आप पहले के समय में विदेश गए थे तो लोग तब ये जानकर धैर्य और समझ रखते थे कि यात्रियों को नए देश में उसके हिसाब से ढलना पड़ता है
9364337429469599182.wav	उन्होंने (जेमी सिमिनॉफ़) कहा, कि उन्होंने एक वाईफ़ाई डोर बेल बनाई है.	उन्होंने जेमी सिमिनॉफ़ कहा कि उन्होंने एक वाईफ़ाई डोर बेल बनाई है
1863528153333761464.wav	उन्होंने (जेमी सिमिनॉफ़) कहा, कि उन्होंने एक वाईफ़ाई डोर बेल बनाई है.	उन्होंने जेमी सिमिनॉफ़ कहा कि उन्होंने एक वाईफ़ाई डोर बेल बनाई है
11206833549725473331.wav	सैद्धांतिक रूप से तिब्बती बौद्ध धर्म बहुत सरल है। इसमें कुंडलिनी योग, ध्यान और सभी को प्रेम से गले लगाने वाला मार्ग शामिल है।	सैद्धांतिक रूप से तिब्बती बौद्ध धर्म बहुत सरल है इसमें कुंडलिनी योग ध्यान और सभी को प्रेम से गले लगाने वाला मार्ग शामिल है
16291299019723832307.wav	2010 के संघीय चुनाव से पहले 1,400 लोगों ने मतदान किया, 2008 से जो लोग ऑस्ट्रेलिया के गणतंत्र बनने का विरोध करते हैं उनमें 8 प्रतिशत की वृद्धि हुई.	2010 के संघीय चुनाव से पहले 1,400 लोगों ने मतदान किया 2008 से जो लोग ऑस्ट्रेलिया के गणतंत्र बनने का विरोध करते हैं उनमें 8 प्रतिशत की वृद्धि हुई
15158002206926634928.wav	स्थानीय अधिकारी संयंत्र के आस-पास के क्षेत्र में निवासियों को चेतावनी दे रहे हैं कि वे घर के अंदर रहें, एयर-कंडीशनर बंद कर दें और नल का पानी न पिएँ.	स्थानीय अधिकारी संयंत्र के आस-पास के क्षेत्र में निवासियों को चेतावनी दे रहे हैं कि वे घर के अंदर रहें एयर-कंडीशनर बंद कर दें और नल का पानी न पिएं
16133974077879140534.wav	इस नई जगह में अलग-अलग संसाधन और प्रतियोगी हैं, इसलिए नई आबादी को पहले के मुकाबले एक मजबूत प्रतियोगी बनने के लिए अलग-अलग खासियत या बदलाव अपनाने की ज़रूरत होगी.	इस नई जगह में अलग-अलग संसाधन और प्रतियोगी हैं इसलिए नई आबादी को पहले के मुकाबले एक मजबूत प्रतियोगी बनने के लिए अलग-अलग खासियत या बदलाव अपनाने की ज़रूरत होगी
14112322580063897119.wav	आप पिरामिड को शो शुरू होने से पहले अंधेरे में शांति से देख सकते हैं.	आप पिरामिड को शो शुरू होने से पहले अंधेरे में शांति से देख सकते हैं
17004109885536335136.wav	आप पिरामिड को शो शुरू होने से पहले अंधेरे में शांति से देख सकते हैं.	आप पिरामिड को शो शुरू होने से पहले अंधेरे में शांति से देख सकते हैं
14346193671142070616.wav	मुख्य लोकल बियर ‘Number one’ है, यह एक काम्प्लेक्स बियर नहीं है, बल्कि यह आपको ताजगी देती है. अन्य लोकल बियर को “Manta” कहा जाता है.	मुख्य लोकल बियर number one है यह एक काम्प्लेक्स बियर नहीं है बल्कि यह आपको ताजगी देती है अन्य लोकल बियर को manta कहा जाता है
12421193312741550985.wav	मुख्य लोकल बियर ‘Number one’ है, यह एक काम्प्लेक्स बियर नहीं है, बल्कि यह आपको ताजगी देती है. अन्य लोकल बियर को “Manta” कहा जाता है.	मुख्य लोकल बियर number one है यह एक काम्प्लेक्स बियर नहीं है बल्कि यह आपको ताजगी देती है अन्य लोकल बियर को manta कहा जाता है
9270271566070321790.wav	अंतिम स्कोर एक अंक की जीत थी, 21 और 20, ऑल ब्लैक्स का 15 गेम लगातार जीतने का सिलसिला समाप्त हुआ ।	अंतिम स्कोर एक अंक की जीत थी 21 और 20 ऑल ब्लैक्स का 15 गेम लगातार जीतने का सिलसिला समाप्त हुआ
981991301148283486.wav	अंतिम स्कोर एक अंक की जीत थी, 21 और 20, ऑल ब्लैक्स का 15 गेम लगातार जीतने का सिलसिला समाप्त हुआ ।	अंतिम स्कोर एक अंक की जीत थी 21 और 20 ऑल ब्लैक्स का 15 गेम लगातार जीतने का सिलसिला समाप्त हुआ
13191264841575352445.wav	बाबा श्याम को छप्पन भोग (हिंदू धर्म में, 56 अलग-अलग खाद्य पदार्थ, जैसे, मिठाई, फल, मेवा, व्यंजन आदि जो देवता को चढ़ाए जाते हैं) की 108 थाली परोसी गईं.	बाबा श्याम को छप्पन भोग हिंदू धर्म में 56 अलग-अलग खाद्य पदार्थ जैसे मिठाई फल मेवा व्यंजन आदि जो देवता को चढ़ाए जाते हैं की 108 थाली परोसी गईं
14309018331756960030.wav	ऐसी चीजें अलग-अलग अनुशासन बन गई हैं, जो वास्तविक जीवन की समस्याओं के समाधान प्रदान करने पर ध्यान देती हैं।	ऐसी चीजें अलग-अलग अनुशासन बन गई हैं जो वास्तविक जीवन की समस्याओं के समाधान प्रदान करने पर ध्यान देती हैं
1432960010724602832.wav	ऐसी चीजें अलग-अलग अनुशासन बन गई हैं, जो वास्तविक जीवन की समस्याओं के समाधान प्रदान करने पर ध्यान देती हैं।	ऐसी चीजें अलग-अलग अनुशासन बन गई हैं जो वास्तविक जीवन की समस्याओं के समाधान प्रदान करने पर ध्यान देती हैं
15022625069670082762.wav	कृपया इस जगह का सम्मान करें, अपने व्यवहार में गंभीरता रखें और इससे वही सम्मान दें जिसकी यह हकदार है. होलोकास्ट या नाज़ी लोगों के बारे में मज़ाक न करें.	कृपया इस जगह का सम्मान करें अपने व्यवहार में गंभीरता रखें और इससे वही सम्मान दें जिसकी यह हकदार है होलोकास्ट या नाज़ी लोगों के बारे में मज़ाक न करें
14123635506143081433.wav	कई सामान्य प्रारूप (उदाहरण के लिए, प्रारूप का APS परिवार) इस अभिमुखता अनुपात के लगभग बराबर या उसके आस-पास हैं.	कई सामान्य प्रारूप उदाहरण के लिए प्रारूप का aps परिवार इस अभिमुखता अनुपात के लगभग बराबर या उसके आस-पास हैं
1487893749760096307.wav	मोल्दोवा में प्रमुख धर्म रूढ़िवादी ईसाई धर्म है।	मोल्दोवा में प्रमुख धर्म रूढ़िवादी ईसाई धर्म है
1295622493382165331.wav	मोल्दोवा में प्रमुख धर्म रूढ़िवादी ईसाई धर्म है।	मोल्दोवा में प्रमुख धर्म रूढ़िवादी ईसाई धर्म है
5435772826667223809.wav	मोल्दोवा में प्रमुख धर्म रूढ़िवादी ईसाई धर्म है।	मोल्दोवा में प्रमुख धर्म रूढ़िवादी ईसाई धर्म है
9522308667598535252.wav	पंखों की संरचना से पता चलता है कि उनका उपयोग उड़ान में नहीं, बल्कि तापमान विनियमन या प्रदर्शन के लिए किया जाता था। शोधकर्ताओं ने सुझाव दिया कि, भले ही यह एक युवा डायनासोर की पूँछ हो, लेकिन नमूना वयस्क साहुल दर्शाता है ना कि बच्चे का निचला हिस्सा।	पंखों की संरचना से पता चलता है कि उनका उपयोग उड़ान में नहीं बल्कि तापमान विनियमन या प्रदर्शन के लिए किया जाता था शोधकर्ताओं ने सुझाव दिया कि भले ही यह एक युवा डायनासोर की पूंछ हो लेकिन नमूना वयस्क साहुल दर्शाता है ना कि बच्चे का निचला हिस्सा
10423652248495413645.wav	रॉबिन उथप्पा ने केवल 41 गेंदों में 11 चौकों और 2 छक्कों की मदद से 70 रन बना कर पारी का सर्वोच्च स्कोर बनाया.	रॉबिन उथप्पा ने केवल 41 गेंदों में 11 चौकों और 2 छक्कों की मदद से 70 रन बना कर पारी का सर्वोच्च स्कोर बनाया
13627157508190734060.wav	सफ़ारी शायद अफ्रीका में सबसे बड़े पर्यटन केंद्र हैं और ये कई आगंतुकों को आकर्षित करते है.	सफ़ारी शायद अफ्रीका में सबसे बड़े पर्यटन केंद्र हैं और ये कई आगंतुकों को आकर्षित करते है
5027019452924149700.wav	तिब्बती बौद्ध धर्म बुद्ध की शिक्षाओं पर आधारित है, लेकिन प्रेम के महायान मार्ग और भारतीय योग से बहुत सारी तकनीकों द्वारा इसे बढ़ाया गया.	तिब्बती बौद्ध धर्म बुद्ध की शिक्षाओं पर आधारित है लेकिन प्रेम के महायान मार्ग और भारतीय योग से बहुत सारी तकनीकों द्वारा इसे बढ़ाया गया
17631628548706552877.wav	तिब्बती बौद्ध धर्म बुद्ध की शिक्षाओं पर आधारित है, लेकिन प्रेम के महायान मार्ग और भारतीय योग से बहुत सारी तकनीकों द्वारा इसे बढ़ाया गया.	तिब्बती बौद्ध धर्म बुद्ध की शिक्षाओं पर आधारित है लेकिन प्रेम के महायान मार्ग और भारतीय योग से बहुत सारी तकनीकों द्वारा इसे बढ़ाया गया
8436775100040002569.wav	तिब्बती बौद्ध धर्म बुद्ध की शिक्षाओं पर आधारित है, लेकिन प्रेम के महायान मार्ग और भारतीय योग से बहुत सारी तकनीकों द्वारा इसे बढ़ाया गया.	तिब्बती बौद्ध धर्म बुद्ध की शिक्षाओं पर आधारित है लेकिन प्रेम के महायान मार्ग और भारतीय योग से बहुत सारी तकनीकों द्वारा इसे बढ़ाया गया
5925791718184013355.wav	इससे पहले कि कोई संगठन नवोन्मेषी हो सके, लीडरशिप को नवोन्मेष की संस्कृति बनाने के साथ ही साझा ज्ञान और संगठनात्मक शिक्षण भी तैयार करना होगा.	इससे पहले कि कोई संगठन नवोन्मेषी हो सके लीडरशिप को नवोन्मेष की संस्कृति बनाने के साथ ही साझा ज्ञान और संगठनात्मक शिक्षण भी तैयार करना होगा
2959162010730586163.wav	इससे पहले कि कोई संगठन नवोन्मेषी हो सके, लीडरशिप को नवोन्मेष की संस्कृति बनाने के साथ ही साझा ज्ञान और संगठनात्मक शिक्षण भी तैयार करना होगा.	इससे पहले कि कोई संगठन नवोन्मेषी हो सके लीडरशिप को नवोन्मेष की संस्कृति बनाने के साथ ही साझा ज्ञान और संगठनात्मक शिक्षण भी तैयार करना होगा
4383601501288470128.wav	इससे पहले कि कोई संगठन नवोन्मेषी हो सके, लीडरशिप को नवोन्मेष की संस्कृति बनाने के साथ ही साझा ज्ञान और संगठनात्मक शिक्षण भी तैयार करना होगा.	इससे पहले कि कोई संगठन नवोन्मेषी हो सके लीडरशिप को नवोन्मेष की संस्कृति बनाने के साथ ही साझा ज्ञान और संगठनात्मक शिक्षण भी तैयार करना होगा
1044599921269916195.wav	अभी भी वे यह पता लगाने की कोशिश कर रहे हैं कि क्रैश कितना बड़ा था और धरती किस तरह से प्रभावित होगी.	अभी भी वे यह पता लगाने की कोशिश कर रहे हैं कि क्रैश कितना बड़ा था और धरती किस तरह से प्रभावित होगी
8759029715008013892.wav	अभी भी वे यह पता लगाने की कोशिश कर रहे हैं कि क्रैश कितना बड़ा था और धरती किस तरह से प्रभावित होगी.	अभी भी वे यह पता लगाने की कोशिश कर रहे हैं कि क्रैश कितना बड़ा था और धरती किस तरह से प्रभावित होगी
8825293215214445472.wav	अभी भी वे यह पता लगाने की कोशिश कर रहे हैं कि क्रैश कितना बड़ा था और धरती किस तरह से प्रभावित होगी.	अभी भी वे यह पता लगाने की कोशिश कर रहे हैं कि क्रैश कितना बड़ा था और धरती किस तरह से प्रभावित होगी
12853086516705941187.wav	दो घंटों में सरकारी इमारतों के पास दो बम विस्फोट हुए.	दो घंटों में सरकारी इमारतों के पास दो बम विस्फोट हुए
5256080569877321430.wav	दो घंटों में सरकारी इमारतों के पास दो बम विस्फोट हुए.	दो घंटों में सरकारी इमारतों के पास दो बम विस्फोट हुए
16056136579044242205.wav	दो घंटों में सरकारी इमारतों के पास दो बम विस्फोट हुए.	दो घंटों में सरकारी इमारतों के पास दो बम विस्फोट हुए
13484197621962344226.wav	हज़ारों साल पहले, एरिस्टार्चस नामक एक व्यक्ति ने कहा था कि सौर मंडल सूर्य के चारों ओर घूमता है।	हज़ारों साल पहले एरिस्टार्चस नामक एक व्यक्ति ने कहा था कि सौर मंडल सूर्य के चारों ओर घूमता है
11745082786885157257.wav	हज़ारों साल पहले, एरिस्टार्चस नामक एक व्यक्ति ने कहा था कि सौर मंडल सूर्य के चारों ओर घूमता है।	हज़ारों साल पहले एरिस्टार्चस नामक एक व्यक्ति ने कहा था कि सौर मंडल सूर्य के चारों ओर घूमता है
872106282640325323.wav	उत्तरी हिस्सा या सेंटिनेल रेंज में अंटार्कटिका के सबसे ऊँचे पहाड़, विंसन मैसिफ़ और माउंट विंसन हैं जिसकी सबसे ऊँची चोटी 4892 मीटर की है.	उत्तरी हिस्सा या सेंटिनेल रेंज में अंटार्कटिका के सबसे ऊंचे पहाड़ विंसन मैसिफ़ और माउंट विंसन हैं जिसकी सबसे ऊंची चोटी 4892 मीटर की है
14930148530444438904.wav	आम तौर पर सैटेलाइट फोन को मोबाइल फोन के स्थान पर उपयोग नहीं किया जा सकता है, क्योंकि सैटेलाइट फोन से कॉल करने के लिए आपको उपग्रह की रेखा पर घर के बाहर रहना पड़ेगा।	आम तौर पर सैटेलाइट फोन को मोबाइल फोन के स्थान पर उपयोग नहीं किया जा सकता है क्योंकि सैटेलाइट फोन से कॉल करने के लिए आपको उपग्रह की रेखा पर घर के बाहर रहना पड़ेगा
10267477486953643935.wav	जब घायलों को लड़ाई बंद होने के बाद अस्पताल ले जाया गया, तो लगभग 40 अन्य बचे हुए कैदी यार्ड में रुके और अपनी कोठरियों में लौटने से इनकार कर दिया.	जब घायलों को लड़ाई बंद होने के बाद अस्पताल ले जाया गया तो लगभग 40 अन्य बचे हुए कैदी यार्ड में रुके और अपनी कोठरियों में लौटने से इनकार कर दिया
6574843675110633186.wav	कुछ फ़ेस्टिवल में छोटे बच्चों के साथ आने वाले परिवारों के लिए कैंप लगाने के ख़ास इलाके होते हैं.	कुछ फ़ेस्टिवल में छोटे बच्चों के साथ आने वाले परिवारों के लिए कैंप लगाने के ख़ास इलाके होते हैं
7462084327459526946.wav	कुछ फ़ेस्टिवल में छोटे बच्चों के साथ आने वाले परिवारों के लिए कैंप लगाने के ख़ास इलाके होते हैं.	कुछ फ़ेस्टिवल में छोटे बच्चों के साथ आने वाले परिवारों के लिए कैंप लगाने के ख़ास इलाके होते हैं
13939004686503523604.wav	कुछ फ़ेस्टिवल में छोटे बच्चों के साथ आने वाले परिवारों के लिए कैंप लगाने के ख़ास इलाके होते हैं.	कुछ फ़ेस्टिवल में छोटे बच्चों के साथ आने वाले परिवारों के लिए कैंप लगाने के ख़ास इलाके होते हैं
12726349958442934185.wav	वैसे तो इसका व्यापक रूप से इस्तेमाल किया जाता है, खास कर गैर-रोमनी लोगों में, लेकिन नकारात्मक स्टीरियोटाइप और रोमनी लोगों की ग़लत धारणाओं की वजह से “जिप्सी” शब्द को अक्सर आपत्तिजनक माना जाता है.	वैसे तो इसका व्यापक रूप से इस्तेमाल किया जाता है खास कर गैर-रोमनी लोगों में लेकिन नकारात्मक स्टीरियोटाइप और रोमनी लोगों की ग़लत धारणाओं की वजह से जिप्सी शब्द को अक्सर आपत्तिजनक माना जाता है
